"","name","date","time","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","Population","Income per person","GDP total","GDP per capita growth (%)","Life expectancy"
"1","World",2020-12-01,2020,0,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,7794798729,16166,125876667272255,-4.41,73.58
"2","World",2020-12-02,2020,0,1,NA,NA,0,0,0,0,NA,NA,0,0,0,7794798729,16166,125876667272255,-4.41,73.58
"3","World",2020-12-03,2020,0,1,NA,NA,0,0,0,0,NA,NA,0,0,0,7794798729,16166,125876667272255,-4.41,73.58
"4","World",2020-12-04,2020,1,2,NA,NA,1,0,0,0,NA,NA,0,0,0,7794798729,16166,125876667272255,-4.41,73.58
"5","World",2020-12-05,2020,1,2,NA,NA,0,0,0,0,NA,NA,0,0,0,7794798729,16166,125876667272255,-4.41,73.58
"6","World",2020-12-06,2020,1,2,NA,NA,0,0,0,0,NA,NA,0,0,0,7794798729,16166,125876667272255,-4.41,73.58
"7","World",2020-12-07,2020,2,3,NA,NA,1,0,0,0,NA,NA,0,0,0,7794798729,16166,125876667272255,-4.41,73.58
"8","World",2020-12-08,2020,7,9,NA,NA,5,1,0,0,NA,NA,0,1,0,7794798729,16166,125876667272255,-4.41,73.58
"9","World",2020-12-09,2020,9,11,NA,NA,2,1,0,0,NA,NA,0,1,0,7794798729,16166,125876667272255,-4.41,73.58
"10","World",2020-12-10,2020,10,12,NA,NA,1,1,0,0,NA,NA,0,2,0,7794798729,16166,125876667272255,-4.41,73.58
"11","World",2020-12-11,2020,14,16,NA,NA,4,2,0,0,NA,NA,0,2,0,7794798729,16166,125876667272255,-4.41,73.58
"12","World",2020-12-12,2020,14,16,NA,NA,0,2,0,0,NA,NA,0,2,0,7794798729,16166,125876667272255,-4.41,73.58
"13","World",2020-12-13,2020,23945,20284,4292,NA,23931,3421,0,0,0,NA,0,2897,0,7794798729,16166,125876667272255,-4.41,73.58
"14","World",2020-12-14,2020,28371,24571,4391,NA,4426,4053,0,0,0,NA,1,3510,0,7794798729,16166,125876667272255,-4.41,73.58
"15","World",2020-12-15,2020,1608403,102380,4615,NA,1580032,229771,0.02,0,0,NA,29,14624,0,7794798729,16166,125876667272255,-4.41,73.58
"16","World",2020-12-16,2020,1772098,260621,5030,NA,163695,253156,0.02,0,0,NA,32,37230,0,7794798729,16166,125876667272255,-4.41,73.58
"17","World",2020-12-17,2020,2049975,531462,5646,NA,277877,292852,0.03,0.01,0,NA,37,75921,0.001,7794798729,16166,125876667272255,-4.41,73.58
"18","World",2020-12-18,2020,2470825,943501,6687,NA,420850,352973,0.03,0.01,0,NA,45,134784,0.002,7794798729,16166,125876667272255,-4.41,73.58
