"","name","date","time","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","Population","Income per person","GDP total","GDP per capita growth (%)","Life expectancy"
"1","Africa",2021-01-09,2021,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1371687302,4698,6443655202262,1.5,67.2
"2","Africa",2021-01-10,2021,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,0,500,0,1371687302,4698,6443655202262,1.5,67.2
"3","Africa",2021-01-11,2021,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,0,500,0,1371687302,4698,6443655202262,1.5,67.2
"4","Africa",2021-01-12,2021,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,0,500,0,1371687302,4698,6443655202262,1.5,67.2
"5","Africa",2021-01-13,2021,2000,2000,NA,NA,NA,500,0,0,NA,NA,0,500,0,1371687302,4698,6443655202262,1.5,67.2
"6","Africa",2021-01-14,2021,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,0,600,0,1371687302,4698,6443655202262,1.5,67.2
"7","Africa",2021-01-15,2021,4000,4000,NA,NA,NA,667,0,0,NA,NA,0,667,0,1371687302,4698,6443655202262,1.5,67.2
"8","Africa",2021-01-16,2021,7000,7000,NA,NA,3000,1000,0,0,NA,NA,1,1000,0,1371687302,4698,6443655202262,1.5,67.2
"9","Africa",2021-01-17,2021,NA,NA,NA,NA,NA,1118,NA,NA,NA,NA,1,1118,0,1371687302,4698,6443655202262,1.5,67.2
"10","Africa",2021-01-18,2021,NA,NA,NA,NA,NA,1236,NA,NA,NA,NA,1,1236,0,1371687302,4698,6443655202262,1.5,67.2
"11","Africa",2021-01-19,2021,10976,10976,NA,NA,NA,1354,0,0,NA,NA,1,1354,0,1371687302,4698,6443655202262,1.5,67.2
"12","Africa",2021-01-20,2021,13163,13163,NA,NA,2187,1595,0,0,NA,NA,1,1595,0,1371687302,4698,6443655202262,1.5,67.2
"13","Africa",2021-01-21,2021,NA,NA,NA,NA,NA,1718,NA,NA,NA,NA,1,1718,0,1371687302,4698,6443655202262,1.5,67.2
"14","Africa",2021-01-22,2021,16890,16890,NA,NA,NA,1841,0,0,NA,NA,1,1841,0,1371687302,4698,6443655202262,1.5,67.2
"15","Africa",2021-01-23,2021,18353,18353,NA,NA,1463,1622,0,0,NA,NA,1,1622,0,1371687302,4698,6443655202262,1.5,67.2
"16","Africa",2021-01-24,2021,18353,18353,NA,NA,0,1433,0,0,NA,NA,1,1433,0,1371687302,4698,6443655202262,1.5,67.2
"17","Africa",2021-01-25,2021,19889,19889,NA,NA,1536,1463,0,0,NA,NA,1,1463,0,1371687302,4698,6443655202262,1.5,67.2
"18","Africa",2021-01-26,2021,22712,22712,NA,NA,2823,1677,0,0,NA,NA,1,1677,0,1371687302,4698,6443655202262,1.5,67.2
"19","Africa",2021-01-27,2021,25587,25587,NA,NA,2875,1775,0,0,NA,NA,1,1775,0,1371687302,4698,6443655202262,1.5,67.2
"20","Africa",2021-01-28,2021,28779,28779,NA,NA,3192,1965,0,0,NA,NA,1,1965,0,1371687302,4698,6443655202262,1.5,67.2
"21","Africa",2021-01-29,2021,30861,30861,NA,NA,2082,1996,0,0,NA,NA,1,1996,0,1371687302,4698,6443655202262,1.5,67.2
"22","Africa",2021-01-30,2021,122206,32206,NA,NA,91345,14836,0.01,0,NA,NA,11,1979,0,1371687302,4698,6443655202262,1.5,67.2
"23","Africa",2021-01-31,2021,158206,32206,NA,NA,36000,19979,0.01,0,NA,NA,15,1979,0,1371687302,4698,6443655202262,1.5,67.2
"24","Africa",2021-02-01,2021,236712,36631,NA,NA,78506,30975,0.02,0,NA,NA,23,2392,0,1371687302,4698,6443655202262,1.5,67.2
"25","Africa",2021-02-02,2021,295127,37836,NA,NA,58415,38916,0.02,0,NA,NA,28,2161,0,1371687302,4698,6443655202262,1.5,67.2
"26","Africa",2021-02-03,2021,347149,38746,5,NA,52022,45937,0.03,0,0,NA,33,1880,0,1371687302,4698,6443655202262,1.5,67.2
"27","Africa",2021-02-04,2021,390474,38746,5,NA,43325,51671,0.03,0,0,NA,38,1424,0,1371687302,4698,6443655202262,1.5,67.2
"28","Africa",2021-02-05,2021,446986,38746,5,NA,56512,59446,0.03,0,0,NA,43,1126,0,1371687302,4698,6443655202262,1.5,67.2
"29","Africa",2021-02-06,2021,504800,39248,1586,NA,57814,54656,0.04,0,0,NA,40,1006,0,1371687302,4698,6443655202262,1.5,67.2
"30","Africa",2021-02-07,2021,NA,NA,NA,NA,NA,55849,NA,NA,NA,NA,41,1015,0,1371687302,4698,6443655202262,1.5,67.2
"31","Africa",2021-02-08,2021,593502,39373,3980,NA,NA,50970,0.04,0,0,NA,37,392,0,1371687302,4698,6443655202262,1.5,67.2
"32","Africa",2021-02-09,2021,661263,39382,6700,NA,67761,52305,0.05,0,0,NA,38,221,0,1371687302,4698,6443655202262,1.5,67.2
"33","Africa",2021-02-10,2021,795836,39385,10335,NA,134573,64098,0.06,0,0,NA,47,91,0,1371687302,4698,6443655202262,1.5,67.2
"34","Africa",2021-02-11,2021,908796,39611,13867,NA,112960,74046,0.07,0,0,NA,54,124,0,1371687302,4698,6443655202262,1.5,67.2
"35","Africa",2021-02-12,2021,1165581,39611,13867,NA,256785,102656,0.08,0,0,NA,75,124,0,1371687302,4698,6443655202262,1.5,67.2
"36","Africa",2021-02-13,2021,1446178,43458,14181,NA,280597,134483,0.11,0,0,NA,98,601,0,1371687302,4698,6443655202262,1.5,67.2
"37","Africa",2021-02-14,2021,NA,NA,NA,NA,NA,151062,NA,NA,NA,NA,110,593,0,1371687302,4698,6443655202262,1.5,67.2
"38","Africa",2021-02-15,2021,1766999,43467,16441,NA,NA,167642,0.13,0,0,NA,122,585,0,1371687302,4698,6443655202262,1.5,67.2
"39","Africa",2021-02-16,2021,1965819,43474,18176,NA,198820,186365,0.14,0,0,NA,136,585,0,1371687302,4698,6443655202262,1.5,67.2
"40","Africa",2021-02-17,2021,2147659,47134,19512,NA,181840,193118,0.16,0,0,NA,141,1107,0,1371687302,4698,6443655202262,1.5,67.2
"41","Africa",2021-02-18,2021,2304003,50215,22925,NA,156344,199315,0.17,0,0,NA,145,1515,0,1371687302,4698,6443655202262,1.5,67.2
"42","Africa",2021-02-19,2021,2514038,2487572,32990,NA,210035,192637,0.18,0.18,0,NA,140,349709,0.025,1371687302,4698,6443655202262,1.5,67.2
"43","Africa",2021-02-20,2021,2616970,2581895,45489,NA,102932,167256,0.19,0.19,0,NA,122,362634,0.026,1371687302,4698,6443655202262,1.5,67.2
"44","Africa",2021-02-21,2021,2623735,2588660,50463,NA,6765,145307,0.19,0.19,0,NA,106,363600,0.026,1371687302,4698,6443655202262,1.5,67.2
"45","Africa",2021-02-22,2021,2745898,2700632,68325,NA,122163,139843,0.2,0.2,0,NA,102,379595,0.028,1371687302,4698,6443655202262,1.5,67.2
"46","Africa",2021-02-23,2021,2854362,2799750,86927,NA,108464,126935,0.21,0.2,0.01,NA,92,393754,0.029,1371687302,4698,6443655202262,1.5,67.2
